Designator,Mid X,Mid Y,Rotation,Layer
D1,112.0,-83.0,90.0,bottom
D2,131.5,-83.0,90.0,bottom
D3,151.5,-83.19,90.0,bottom
D4,111.5,-103.19,90.0,bottom
D5,131.5,-103.0,90.0,bottom
D6,152.5,-103.0,90.0,bottom
R1,156.5,-70.0,0.0,bottom
SW1,121.42,-80.41,0.0,top
SW10,180.25,-91.9,0.0,top
SW2,141.42,-80.41,0.0,top
SW3,161.42,-80.41,0.0,top
SW4,121.5,-99.91,0.0,top
SW5,141.5,-99.91,0.0,top
SW6,161.42,-99.91,0.0,top
U1,121.375,-62.88,0.0,top
U2,139.0,-60.5,90.0,top
